City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,78.08,Clear,-9.8,-139.0333,Villa Enata
10,Vaini,TO,75.36,Rain,-21.2,-175.2,Keleti Beach Resort
12,Puerto Ayora,EC,80.56,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Inhapim,BR,81.19,Clouds,-19.5492,-42.12,hotel Carreiro em Inhapim/MG
17,Tecoanapa,MX,80.73,Clear,16.5167,-98.75,Hotel Manglares
27,Rikitea,PF,77.74,Clouds,-23.1203,-134.9692,People ThankYou
29,Matara,LK,76.98,Clouds,5.9485,80.5353,Amaloh Boutique Resort
33,Kapaa,US,75.18,Rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Yulara,AU,75.04,Clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
40,Hithadhoo,MV,81.68,Clear,-0.6,73.0833,Scoop Guest House
41,Butaritari,KI,80.69,Rain,3.0707,172.7902,Isles Sunset Lodge
51,Chuy,UY,83.71,Clear,-33.6971,-53.4616,Nuevo Hotel Plaza
59,Prien,US,80.58,Haze,30.1819,-93.2738,L'Auberge Casino Resort Lake Charles
60,Huarmey,PE,75.25,Clouds,-10.0681,-78.1522,Hotel Miramar
61,Padang,ID,75.25,Rain,-0.9492,100.3543,Mercure Padang
62,El Dovio,CO,75.88,Clouds,4.5079,-76.2362,Julián
64,Saint-Philippe,RE,76.59,Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Carinhanha,BR,81.79,Clouds,-14.3047,-43.765,Hotel União
74,Banikoara,BJ,87.69,Clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
80,Luanda,AO,80.6,Clouds,-8.8368,13.2343,Hotel Fórum
84,Sao Joao Da Barra,BR,80.69,Rain,-21.6403,-41.0511,Pousada Porto De Canoas
99,Dhidhdhoo,MV,82.04,Clouds,6.8833,73.1,Dhidhoo beach
103,Bataipora,BR,89.6,Clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
104,Carnarvon,AU,75.27,Clear,-24.8667,113.6333,Hospitality Carnarvon
106,San Cristobal,VE,77.18,Clouds,7.7669,-72.225,Posada Villaven C.A.
117,Mahebourg,MU,77.29,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Coahuayana,MX,87.28,Clear,18.7333,-103.6833,El rranchito michuacan de ocampos
121,Taoudenni,ML,80.53,Clear,22.6783,-3.9836,
123,Bengkulu,ID,75.96,Rain,-3.8004,102.2655,Grage Hotel Bengkulu
124,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Cititel Penang
129,Saint-Pierre,RE,76.68,Clear,-21.3393,55.4781,Lindsey Hôtel
130,Puro,PH,76.5,Clouds,12.4841,123.3827,
141,Valparaiso,CL,79.03,Clear,-33.0393,-71.6273,Hotel Ultramar
142,Neiafu,TO,81.28,Clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
145,Labuhan,ID,79.5,Clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
148,Itacarambi,BR,77.9,Clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
155,Rincon,US,78.98,Clouds,32.296,-81.2354,Days Inn Rincon
160,Yenagoa,NG,86.14,Clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
163,Fundao,BR,78.33,Clouds,-19.9341,-40.4047,City Hotel
165,Mount Isa,AU,82.17,Clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
180,Broken Hill,AU,76.71,Clouds,-31.95,141.4333,Royal Exchange Hotel
184,The Valley,AI,84.06,Clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
187,San Policarpo,PH,78.39,Clouds,12.1791,125.5072,Agapita M. Nicart
188,Ponta Do Sol,PT,75.83,Clouds,32.6667,-17.1,Hotel do Campo
191,Kieta,PG,79.9,Rain,-6.2167,155.6333,Uruna Bay Retreat
192,Takoradi,GH,81.79,Clouds,4.8845,-1.7554,Raybow International Hotel
197,Cabo San Lucas,MX,79.9,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
198,Carutapera,BR,81.84,Clouds,-1.195,-46.02,Lidera
199,Piracanjuba,BR,75.52,Clouds,-17.3028,-49.0167,Casas Luci
200,Asia,PH,76.37,Clouds,9.5506,122.5164,Totic’s Little Inn and Restaurant
205,Juba,SS,88.09,Clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
210,Deniliquin,AU,75.47,Clear,-35.5333,144.9667,Riviana Motel
217,Kuching,MY,79.02,Rain,1.55,110.3333,The Ranee Boutique Suites
230,Birao,CF,80.8,Clouds,10.2849,22.7882,
232,Rio Grande,BR,78.84,Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
233,Omboue,GA,78.06,Clouds,-1.5746,9.2618,Hotel Olako
236,Neuquen,AR,78.69,Clear,-38.9516,-68.0591,Hotel del Comahue
239,Pisco,PE,75.25,Clear,-13.7,-76.2167,Hotel San Isidro Oficial
240,Sao Filipe,CV,78.55,Clouds,14.8961,-24.4956,Hotel Xaguate
242,Vila Velha,BR,78.75,Rain,-20.3297,-40.2925,Quality Suites Vila Velha
243,Weligama,LK,75.4,Clouds,5.9667,80.4167,Weligama Bay Resort
247,Benemerito De Las Americas,MX,86.29,Clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
249,Carmelo,UY,87.69,Clear,-33.9892,-58.2856,Los Muelles Boutique Hotel
254,Yago,MX,81.93,Clear,21.8333,-105.0667,
259,Kulhudhuffushi,MV,81.77,Clouds,6.6221,73.07,Haajy Guest House 1
265,Isangel,VU,79.57,Clouds,-19.55,169.2667,Tanna Lodge
266,Biak,ID,76.28,Clouds,-0.9131,122.8766,Penginapan Kim
274,Mar Del Plata,AR,80.62,Clear,-38.0023,-57.5575,Gran Hotel Mar del Plata
275,Santiago,CL,83.64,Clear,-33.4569,-70.6483,Che Lagarto Hostel Santiago
281,Ixtapa,MX,76.23,Clear,20.7,-105.2,Hotel Plaza Providencia
285,Quatre Cocos,MU,77.11,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
288,Tabou,CI,80.62,Clouds,4.423,-7.3528,hotêl doufoulougou
294,Domoni,KM,80.6,Clouds,-12.2569,44.5319,Al Djadid
295,Xuddur,SO,78.17,Clouds,4.1213,43.8894,Banjanay Hotel
297,San Patricio,US,81.01,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
302,Kavieng,PG,82.36,Clouds,-2.5744,150.7967,Nusa Island Retreat
304,Touros,BR,88.7,Clouds,-5.1989,-35.4608,INN NEW HORIZON
305,Itaituba,BR,84.36,Clouds,-4.2761,-55.9836,Hotel Campos
312,Poum,NC,80.8,Rain,-20.2333,164.0167,Gîte kajeon
317,Souillac,MU,77.38,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
320,Port Augusta,AU,75.34,Clouds,-32.5,137.7667,Majestic Oasis Apartments
321,Avarua,CK,75.25,Clouds,-21.2078,-159.775,Paradise Inn
