City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,78.08,74,0,16.82,Clear
1,Mattru,SL,7.6244,-11.8332,93.2,36,14,5.41,Clouds
2,Ketchikan,US,55.3422,-131.6461,27.07,80,90,3.44,Clouds
3,Guerande,FR,47.3291,-2.4283,58.69,90,82,8.32,Clouds
4,Bluff,NZ,-46.6,168.3333,57.67,87,99,15.88,Clouds
5,Chardara,KZ,41.2547,67.9692,48.58,35,99,7.47,Clouds
6,Hermanus,ZA,-34.4187,19.2345,65.59,74,63,17.9,Clouds
7,Mataura,NZ,-46.1927,168.8643,56.39,92,89,4.76,Clouds
8,San Vicente,AR,-26.6167,-54.1333,93.15,24,12,2.86,Clouds
9,Albany,US,42.6001,-73.9662,46.98,86,95,4.65,Clouds
10,Vaini,TO,-21.2,-175.2,75.36,94,90,0.0,Rain
11,Hofn,IS,64.2539,-15.2082,29.77,70,92,12.75,Clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,80.56,75,92,9.91,Clouds
13,Nikolskoye,RU,59.7035,30.7861,30.09,93,100,5.82,Clouds
14,Bethel,US,41.3712,-73.414,50.11,85,85,3.96,Clouds
15,Inhapim,BR,-19.5492,-42.12,81.19,83,100,7.65,Clouds
16,Butte,US,39.6499,-121.5677,44.15,93,1,0.0,Clear
17,Tecoanapa,MX,16.5167,-98.75,80.73,56,2,5.79,Clear
18,Port Elizabeth,ZA,-33.918,25.5701,68.29,73,0,17.27,Clear
19,Revelstoke,CA,50.9832,-118.2023,3.22,66,1,10.36,Clear
20,Victoria,HK,22.2855,114.1577,64.45,75,51,16.42,Clouds
21,Sitrah,BH,26.1547,50.6206,68.0,77,20,6.91,Clouds
22,Geraldton,AU,-28.7667,114.6,72.01,83,90,19.57,Clouds
23,Hobart,AU,-42.8794,147.3294,53.46,94,4,3.44,Clear
24,Katsuura,JP,35.1333,140.3,32.11,44,47,16.31,Clouds
25,Pevek,RU,69.7008,170.3133,-17.12,96,99,2.17,Clouds
26,Castro,BR,-24.7911,-50.0119,69.91,82,82,3.62,Clouds
27,Rikitea,PF,-23.1203,-134.9692,77.74,72,45,12.53,Clouds
28,Kahului,US,20.8947,-156.47,70.86,88,20,0.0,Rain
29,Matara,LK,5.9485,80.5353,76.98,84,72,10.98,Clouds
30,Erdemli,TR,36.605,34.3084,56.97,59,88,8.93,Clouds
31,Norman Wells,CA,65.282,-126.8329,-47.16,66,20,2.3,Clouds
32,Phu Ly,VN,20.5411,105.9139,63.12,69,98,2.3,Clouds
33,Kapaa,US,22.0752,-159.319,75.18,100,90,8.05,Rain
34,Olafsvik,IS,64.8945,-23.7142,35.22,67,100,13.31,Snow
35,Chinchani,IN,19.8667,72.7,74.19,75,18,8.61,Clouds
36,Ushuaia,AR,-54.8,-68.3,47.86,66,75,13.8,Rain
37,Yulara,AU,-25.2406,130.9889,75.04,41,52,8.05,Clouds
38,Severo-Kurilsk,RU,50.6789,156.125,28.8,85,82,17.0,Clouds
39,Busselton,AU,-33.65,115.3333,55.89,80,0,13.24,Clear
40,Hithadhoo,MV,-0.6,73.0833,81.68,73,5,9.73,Clear
41,Butaritari,KI,3.0707,172.7902,80.69,78,100,9.24,Rain
42,New Norfolk,AU,-42.7826,147.0587,53.1,66,1,3.44,Clear
43,Fairbanks,US,64.8378,-147.7164,-12.66,77,90,0.0,Clouds
44,Thompson,CA,55.7435,-97.8558,-7.44,71,75,8.05,Clouds
45,Ofunato,JP,39.0717,141.7167,21.83,85,41,9.82,Snow
46,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,40,9.22,Clouds
47,Klaksvik,FO,62.2266,-6.589,34.72,67,92,18.48,Clouds
48,Gazojak,TM,41.1875,61.4036,36.5,45,96,3.83,Clouds
49,Cape Town,ZA,-33.9258,18.4232,66.61,68,20,9.22,Clouds
50,Jamestown,US,42.097,-79.2353,49.32,81,90,5.75,Clouds
51,Chuy,UY,-33.6971,-53.4616,83.71,52,5,12.1,Clear
52,Hilo,US,19.7297,-155.09,71.33,88,90,6.91,Clouds
53,Northam,GB,51.0333,-4.2167,56.82,94,80,14.85,Clouds
54,Grindavik,IS,63.8424,-22.4338,34.27,69,90,20.71,Snow
55,Santiago Del Estero,AR,-27.7951,-64.2615,105.17,14,0,11.88,Clear
56,Samastipur,IN,25.85,85.7833,59.9,67,58,6.42,Clouds
57,Airai,TL,-8.9266,125.4092,60.33,89,76,1.28,Clouds
58,San Francisco,US,37.7749,-122.4194,48.13,76,20,3.44,Clouds
59,Prien,US,30.1819,-93.2738,80.58,73,75,14.97,Haze
60,Huarmey,PE,-10.0681,-78.1522,75.25,71,94,10.69,Clouds
